,age,height_cm,weight_kg,overall,potential,value_eur,wage_eur,international_reputation,weak_foot,skill_moves,release_clause_eur,team_jersey_number,contract_valid_until,nation_jersey_number,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
5313,0.6,0.3333333333333333,0.40476190476190477,0.425,0.3055555555555556,0.01261500521673148,0.0511727078891258,0.25,0.5,0.5,0.01321016829252039,0.02040816326530612,0.2857142857142857,0.06896551724137931,0.6588235294117647,0.2558139534883721,0.627906976744186,0.7037037037037037,0.36046511627906974,0.6813186813186813,0.7261904761904762,0.3253012048192771,0.6875,0.7142857142857143,0.6621621621621622,0.6296296296296297,0.6486486486486487,0.39215686274509803,0.8,0.3,0.7076923076923077,0.6883116883116883,0.45901639344262296,0.47126436781609193,0.6410256410256411,0.6904761904761905,0.6153846153846154,0.6103896103896104,0.425,0.6111111111111112,0.735632183908046,0.7469879518072289,0.7804878048780488,0.14772727272727273,0.15555555555555556,0.1348314606741573,0.1590909090909091,0.033707865168539325
5318,0.7,0.7222222222222222,0.47619047619047616,0.425,0.3055555555555556,0.009769515318220621,0.021321961620469083,0.25,0.5,0.5,0.00808398734858543,0.22448979591836735,0.42857142857142855,0.034482758620689655,0.6823529411764706,0.46511627906976744,0.7790697674418605,0.7530864197530864,0.6395348837209303,0.6483516483516484,0.6785714285714286,0.39759036144578314,0.7,0.6904761904761905,0.32432432432432434,0.4567901234567901,0.43243243243243246,0.45098039215686275,0.44,0.5714285714285714,0.8615384615384616,0.7142857142857143,0.6721311475409836,0.6206896551724138,0.6666666666666666,0.7738095238095238,0.43956043956043955,0.5584415584415584,0.2875,0.7638888888888888,0.7931034482758621,0.7831325301204819,0.7804878048780488,0.11363636363636363,0.05555555555555555,0.06741573033707865,0.125,0.07865168539325842
5340,0.6,0.4722222222222222,0.40476190476190477,0.425,0.3055555555555556,0.015460495115242341,0.008528784648187633,0.0,0.5,0.5,0.012697550198126894,0.08163265306122448,0.0,0.3448275862068966,0.5882352941176471,0.7209302325581395,0.6395348837209303,0.6666666666666666,0.7558139534883721,0.7032967032967034,0.6547619047619048,0.5783132530120482,0.575,0.6785714285714286,0.7027027027027027,0.6666666666666666,0.7027027027027027,0.5490196078431373,0.6533333333333333,0.6571428571428571,0.4461538461538462,0.6103896103896104,0.45901639344262296,0.7126436781609196,0.6025641025641025,0.34523809523809523,0.7802197802197802,0.7142857142857143,0.7,0.5,0.2988505747126437,0.2891566265060241,0.25609756097560976,0.056818181818181816,0.1,0.15730337078651685,0.09090909090909091,0.10112359550561797
5342,0.6,0.6666666666666666,0.7857142857142857,0.425,0.3055555555555556,0.010718011951057574,0.014925373134328358,0.0,0.5,0.0,0.009109223537372422,0.1326530612244898,0.2857142857142857,0.7586206896551724,0.023529411764705882,0.09302325581395349,0.1511627906976744,0.2345679012345679,0.0,0.2087912087912088,0.17857142857142858,0.13253012048192772,0.5375,0.13095238095238096,0.5540540540540541,0.5061728395061729,0.40540540540540543,0.47058823529411764,0.4266666666666667,0.45714285714285713,0.6307692307692307,0.3246753246753247,0.19672131147540983,0.06896551724137931,0.2692307692307692,0.07142857142857142,0.10989010989010989,0.6233766233766234,0.15,0.5416666666666666,0.11494252873563218,0.03614457831325301,0.04878048780487805,0.7613636363636364,0.7333333333333333,0.8314606741573034,0.7159090909090909,0.7528089887640449
5355,0.55,0.6666666666666666,0.6904761904761905,0.425,0.3055555555555556,0.016408991748079294,0.01279317697228145,0.25,0.5,0.25,0.011159695914946406,0.29591836734693877,0.2857142857142857,0.27586206896551724,0.4470588235294118,0.7325581395348837,0.7906976744186046,0.6172839506172839,0.7209302325581395,0.6153846153846154,0.5119047619047619,0.5421686746987951,0.575,0.6190476190476191,0.3783783783783784,0.5925925925925926,0.4594594594594595,0.5294117647058824,0.44,0.6714285714285714,0.5692307692307692,0.37662337662337664,0.7049180327868853,0.6666666666666666,0.6025641025641025,0.38095238095238093,0.7692307692307693,0.5974025974025974,0.7375,0.6805555555555556,0.20689655172413793,0.39759036144578314,0.2682926829268293,0.045454545454545456,0.15555555555555556,0.0898876404494382,0.13636363636363635,0.10112359550561797
5406,0.65,0.5555555555555556,0.47619047619047616,0.425,0.3055555555555556,0.011666508583894527,0.0511727078891258,0.25,0.5,0.5,0.011672314009339902,0.2653061224489796,0.14285714285714285,0.06896551724137931,0.7529411764705882,0.6162790697674418,0.7558139534883721,0.7407407407407407,0.6511627906976745,0.6923076923076923,0.8095238095238095,0.7469879518072289,0.7125,0.7142857142857143,0.6486486486486487,0.6666666666666666,0.6756756756756757,0.5294117647058824,0.56,0.6428571428571429,0.7846153846153846,0.7662337662337663,0.6229508196721312,0.6896551724137931,0.5512820512820513,0.7142857142857143,0.6813186813186813,0.6493506493506493,0.6125,0.625,0.6436781609195402,0.6867469879518072,0.6463414634146342,0.13636363636363635,0.05555555555555555,0.07865168539325842,0.09090909090909091,0.0449438202247191
5411,0.5,0.3055555555555556,0.38095238095238093,0.425,0.3055555555555556,0.013563501849568433,0.010660980810234541,0.0,0.5,0.5,0.009109223537372422,0.22448979591836735,0.42857142857142855,0.10344827586206896,0.6823529411764706,0.5581395348837209,0.5581395348837209,0.7283950617283951,0.47674418604651164,0.6593406593406593,0.6071428571428571,0.5301204819277109,0.5875,0.6666666666666666,0.7162162162162162,0.654320987654321,0.7432432432432432,0.39215686274509803,0.6933333333333334,0.6,0.8,0.935064935064935,0.639344262295082,0.6551724137931034,0.782051282051282,0.7023809523809523,0.6703296703296703,0.5714285714285714,0.575,0.5972222222222222,0.6551724137931034,0.6867469879518072,0.7317073170731707,0.1590909090909091,0.14444444444444443,0.15730337078651685,0.056818181818181816,0.07865168539325842
5481,0.45,0.6944444444444444,0.40476190476190477,0.425,0.3055555555555556,0.014511998482405388,0.008528784648187633,0.0,0.5,0.25,0.011672314009339902,0.01020408163265306,0.14285714285714285,0.034482758620689655,0.7058823529411765,0.3488372093023256,0.7093023255813954,0.7160493827160493,0.4069767441860465,0.4725274725274725,0.2976190476190476,0.18072289156626506,0.5875,0.5952380952380952,0.527027027027027,0.7037037037037037,0.47297297297297297,0.4117647058823529,0.4533333333333333,0.2,0.8,0.6233766233766234,0.7049180327868853,0.4827586206896552,0.8205128205128205,0.5952380952380952,0.32967032967032966,0.1038961038961039,0.125,0.3888888888888889,0.7241379310344828,0.6987951807228916,0.7073170731707317,0.07954545454545454,0.08888888888888889,0.1348314606741573,0.09090909090909091,0.06741573033707865
5502,0.6,0.4722222222222222,0.30952380952380953,0.425,0.3055555555555556,0.01261500521673148,0.008528784648187633,0.0,0.75,0.25,0.012184932103733398,0.01020408163265306,0.2857142857142857,0.6206896551724138,0.6941176470588235,0.3488372093023256,0.6511627906976745,0.6666666666666666,0.36046511627906974,0.6703296703296703,0.5595238095238095,0.43373493975903615,0.6625,0.6785714285714286,0.7162162162162162,0.6666666666666666,0.7027027027027027,0.47058823529411764,0.8,0.24285714285714285,0.7538461538461538,0.8441558441558441,0.6721311475409836,0.4942528735632184,0.6538461538461539,0.7142857142857143,0.5604395604395604,0.6363636363636364,0.6875,0.5833333333333334,0.7126436781609196,0.7228915662650602,0.7073170731707317,0.125,0.07777777777777778,0.15730337078651685,0.056818181818181816,0.12359550561797752
5581,0.5,0.6388888888888888,0.4523809523809524,0.425,0.3055555555555556,0.013563501849568433,0.014925373134328358,0.0,0.5,0.5,0.014748022575700877,0.9081632653061225,0.2857142857142857,0.034482758620689655,0.7411764705882353,0.627906976744186,0.686046511627907,0.691358024691358,0.5465116279069767,0.6593406593406593,0.7738095238095238,0.6987951807228916,0.625,0.6190476190476191,0.6216216216216216,0.7407407407407407,0.44594594594594594,0.5294117647058824,0.4266666666666667,0.5571428571428572,0.7384615384615385,0.6103896103896104,0.6229508196721312,0.6551724137931034,0.6153846153846154,0.7380952380952381,0.6593406593406593,0.4675324675324675,0.25,0.625,0.7471264367816092,0.7108433734939759,0.7682926829268293,0.07954545454545454,0.1111111111111111,0.1348314606741573,0.125,0.056179775280898875
5667,0.05,0.6111111111111112,0.19047619047619047,0.4,0.6944444444444444,0.021151474912264063,0.021321961620469083,0.0,0.5,0.5,0.028588711124325268,0.21428571428571427,0.7142857142857143,0.5862068965517241,0.5529411764705883,0.7209302325581395,0.6976744186046512,0.6172839506172839,0.6744186046511628,0.7142857142857143,0.6547619047619048,0.40963855421686746,0.5375,0.6547619047619048,0.8783783783783784,0.8888888888888888,0.8648648648648649,0.27450980392156865,0.64,0.6428571428571429,0.5692307692307692,0.5324675324675324,0.45901639344262296,0.6896551724137931,0.41025641025641024,0.16666666666666666,0.6703296703296703,0.6103896103896104,0.625,0.5972222222222222,0.26436781609195403,0.20481927710843373,0.1951219512195122,0.056818181818181816,0.07777777777777778,0.11235955056179775,0.14772727272727273,0.12359550561797752
5696,0.1,0.3333333333333333,0.16666666666666666,0.4,0.6111111111111112,0.017357488380916247,0.0042643923240938165,0.0,0.25,0.5,0.015260640670094373,0.30612244897959184,0.42857142857142855,0.7241379310344828,0.7411764705882353,0.5813953488372093,0.43023255813953487,0.7037037037037037,0.6046511627906976,0.7032967032967034,0.75,0.7349397590361446,0.7,0.7023809523809523,0.6891891891891891,0.6666666666666666,0.7297297297297297,0.4117647058823529,0.8133333333333334,0.5,0.5076923076923077,0.5974025974025974,0.26229508196721313,0.7126436781609196,0.6666666666666666,0.5595238095238095,0.5934065934065934,0.7272727272727273,0.5875,0.6666666666666666,0.5172413793103449,0.43373493975903615,0.4024390243902439,0.13636363636363635,0.044444444444444446,0.11235955056179775,0.06818181818181818,0.056179775280898875
5756,0.2,0.8055555555555556,0.35714285714285715,0.4,0.5277777777777778,0.011666508583894527,0.019189765458422176,0.0,0.25,0.0,0.01321016829252039,0.14285714285714285,0.5714285714285714,0.0,0.07058823529411765,0.03488372093023256,0.11627906976744186,0.32098765432098764,0.08139534883720931,0.13186813186813187,0.14285714285714285,0.04819277108433735,0.2125,0.2261904761904762,0.43243243243243246,0.4444444444444444,0.24324324324324326,0.39215686274509803,0.5066666666666667,0.4142857142857143,0.5846153846153846,0.2597402597402597,0.4426229508196721,0.12643678160919541,0.10256410256410256,0.14285714285714285,0.10989010989010989,0.2727272727272727,0.2375,0.3333333333333333,0.13793103448275862,0.13253012048192772,0.14634146341463414,0.7954545454545454,0.7,0.7865168539325843,0.6931818181818182,0.7865168539325843
